Name,Mentions,Writer
Shera S. Avi-Yonah,237,1
Alexandra A. Chaidez,189,1
Molly C. McCafferty,187,1
Delano R. Franklin,170,1
Aidan F. Ryan,165,1
Michelle G. Kurilla,161,1
Jonah S. Berger,152,1
Amanda Y. Su,124,1
Juliet E. Isselbacher,124,1
Michael E. Xie,115,1
Ellen M. Burstein,102,1
Kevin R. Chen,98,1
Declan J. Knieriem,94,1
Ema R. Schumer,82,1
Danilo Djuricic,68,0
Simone C. Chu,65,1
Jack Drury,63,0
Jasper G. Goodman,57,1
Sydnie M. Cobb,55,0
Casey Dornbach,54,0
Paul R. Curran,51,0
Noah Kirkwood,51,0
Amy L. Jia,51,1
John Marino,50,0
Ruth A. Hailu,50,1
Cassandra Luca,48,1
Allison J. Scharmann,44,1
Aaron Shampklin,43,0
Jadyn Bush,43,0
Truelian Lee,43,1
Kelsey J. Griffin,40,1
Kaylee S. Kim,38,1
Devin Darrington,37,0
Devin B. Srivastava,33,0
Leon K. Yang,32,1
Katherine E. Wang,31,0
Mitchell Gibson,31,0
Lev Cohen,30,1
William Boggs,29,1
Jacqueline P. Patel,28,1
Cindy H. Zhang,28,1
Ethan Lee,28,1
Meera S. Nair,28,1
Simon Rosenblum-Larson,26,0
James A. Mathew,26,0
Callia A. Chuang,26,1
Davit Antonyan,26,1
James Joyce,24,1
Sanika S. Mahajan,24,0
Maria G. Gonzalez,24,1
Katelyn X. Li,23,0
Mason Forbes,23,0
Mahtab Shihab,23,1
Rick Li,22,1
Dominique Petrie,22,0
Elizabeth X. Guo,22,0
Matteo N. Wong,21,1
Michelle Kurilla,21,1
Mindie Mabry,20,0
Paula M. Barberi,20,1
John Farinacci,20,0
Spencer Freedman,19,0
Austin W. Li,19,1
Meena Venkataramanan,18,0
Ellie Shahbo,18,0
Connor Wagaman,18,0
Jenna X. Bao,18,1
Lucy Liu,17,1
Lisa Tertsch,17,0
Patricia J. Liu,17,1
Nina H. Pasquini,17,1
Ashley M. Cooper,17,1
Noah Harris,17,0
Dennis Blyashov,16,0
Jack M. Schroeder,16,1
Alexa C. Jordan,16,0
Sharon Xu,16,1
Matt Freese,15,0
Anna Li,15,1
Samyra C. Miller,15,0
Jovahn Williamson,15,0
Henry Thrun,15,0
Timothy J. Williamson,14,0
Ahab Chopra,14,1
Olivia C. Scott,14,1
Rachel Lim,14,0
Connor W. K. Brown,14,1
Aidan Borguet,14,0
Jenny Y. Gan,13,0
Miranda Eng,13,1
Ema Schumer,13,1
Christina T. Pham,13,1
Robert F. Kennedy,12,0
Reed Farley,12,0
Jordan Hill,12,0
Hugo Milner,12,0
Benjamin E. Frimodig,12,0
Ruth Zheng,12,1
Nicholas J. Brennan,12,0
Annie Harrigan,12,1
Mario Haskett,11,0
Abbe Goldstein,11,0
Grant Fairbairn,11,0
Neha Gupta,11,0
Andrew W. Liang,11,1
Rodney Agyare-May,11,0
Madison A. Trice,11,0
Jack M. Swanson,11,0
Rachel Greenwood,11,0
David Manikas,11,1
Austin Madronic,11,0
Shruthi Venkata,11,1
Ismail B. Ajjawi,11,0
Lauren Raimondo,10,0
Robert Wrzesinski,10,0
Franklin R. Civantos,10,1
Brian Shi,10,0
Victor Crouin,10,0
Sahar M. Mohammadzadeh,10,0
Charlie Brown,9,0
Benjamin Solin,9,0
Alex White,9,1
Natalie Sicher,9,0
Catherine H. Ho,9,0
Alfred Perez,9,0
Rachel L. Reynolds,9,1
Kale Catchings,9,0
Kelsey Chen,9,1
Angela Caloia,9,0
Idan Tretout,9,0
Hannah Pearce,8,0
Cornelius Bencsik,8,0
Ryan Thrush,8,0
Olivia Okoli,8,0
Tyler Adams,8,0
Hunter T. Baldwin,8,1
R.J. Murphy,8,0
Aditya A. Dhar,8,0
Marshall Rifai,8,0
Sara Komatsu,8,1
Grace Zarzecki,7,0
Jackson C. Walker,7,0
Sandra Zeng,7,0
Belinda Hu,7,0
Isaiah Wingfield,7,0
Sofia W. Tong,7,1
Geoffrey Tourette,7,0
Michael Y. Cheng,7,0
Anina Ku,7,0
Elizabeth Wang,7,0
Remedy H. Ryan,7,0
Austin Wong,7,0
Clara V. Nguyen,7,1
Emerson J. Monks,7,1
Allison S. Chang,6,1
Paul Curran,6,0
Will V. Robbins,6,0
Bruno Snow,6,0
Milan Roberts,6,0
Jessica Luo,6,0
Erin Wright,6,0
Evelyn Gray,6,0
Emily Wang,6,1
Jubin Gorji,6,0
Ava M. Hampton,6,0
Saanchi Kukadia,6,0
David Hogg,6,0
Joey Minatel,6,1
Jakob L. Gilbert,6,0
Buddy Mrowka,6,0
Taylor Nielsen,6,0
Rachel Eason,6,0
Sam Welsh,6,0
Chloe E. V. Koulefianou,6,0
Jenna Bao,6,0
Lauren V. Marshall,6,1
Matt Smith,5,0
Sabrina Wu,5,0
Maria Guramare,5,0
Archie J.W. Hall,5,1
Nadya T. Okamoto,5,0
Seth D. Billiau,5,0
Linda Liedel,5,0
John Fish,5,0
Adam Gordon,5,0
Kennidy Quist,5,0
Corban Rawls,5,0
Tiffany A. Rekem,5,1
Kahlil Wassell,5,0
Sonya Kalara,5,0
Erick Duffy,5,0
Natalie J. Gale,5,1
